location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
4837116,"PHA Office","pm25",177.10899963378907,"µg/m³","2025-11-13T05:00:00Z","2025-11-13T10:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",135.96077745225693,"µg/m³","2025-11-13T07:00:00Z","2025-11-13T12:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",119.38300018310547,"µg/m³","2025-11-13T08:00:00Z","2025-11-13T13:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",108.34237461090089,"µg/m³","2025-11-13T09:00:00Z","2025-11-13T14:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",103.66183293660481,"µg/m³","2025-11-13T10:00:00Z","2025-11-13T15:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",97.61949996948242,"µg/m³","2025-11-13T11:00:00Z","2025-11-13T16:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",110.89781813188033,"µg/m³","2025-11-13T12:00:00Z","2025-11-13T17:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",168.59066670735677,"µg/m³","2025-11-13T13:00:00Z","2025-11-13T18:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",233.49813889397515,"µg/m³","2025-11-13T14:00:00Z","2025-11-13T19:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",265.17766698201496,"µg/m³","2025-11-13T15:00:00Z","2025-11-13T20:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
4837116,"PHA Office","pm25",278.30783411661787,"µg/m³","2025-11-13T16:00:00Z","2025-11-13T21:00:00+05:00","Asia/Karachi",31.42893,73.08995,,,,"The Urban Unit","AirGradient"
